"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"9269305","04004114119004171000000000U5","ACOPIO DE PESCADOS SIN NOMBRE",,"114119","Pesca y captura de peces, crustáceos, moluscos y otras especies","0 a 5 personas","AVENIDA","Carlos Sansores Pérez","CALLE","35","CALLE","37","CALLE","27-A","0",,,,"0",,"COLONIA","CENTENARIO",,,,"24400","04","CAMPECHE","004","Champotón","0001","Champotón","0968","031","9828223311",,,"Fijo","19.35116293","-90.72865845","2020-11"
"6167886","04004114119000281001000000U5","AVIEZER JESÚS CAB AKE",,"114119","Pesca y captura de peces, crustáceos, moluscos y otras especies","0 a 5 personas","CALLE","CARLOS SANSORES PÉREZ","CALLE","3","CALLE","5","CALLE","14","0",,,,"0",,"COLONIA","LA CRUZ",,,,"24400","04","CAMPECHE","004","Champotón","0001","Champotón","0968","038","9821216726",,,"Fijo","19.34638522","-90.73106035","2010-07"
"8836273","04004114119003444000000000O6","C.P.P. Y T.B. Y S. LOS LERMEROS, S.C. DE R.L. DE C.V.","CPP Y TB Y S LOS LERMEROS SC DE RL DE CV","114119","Pesca y captura de peces, crustáceos, moluscos y otras especies","11 a 30 personas","CALLE","CALLE DEL MUELLE","CALLE","20","CALLE","NINGUNO","CALLE","20","0",,,,"0",,"COLONIA","KILA",,,,"24500","04","CAMPECHE","004","Champotón","0001","Champotón","1025","006","9811107988","ISIDROCHAN84@GMAIL.COM",,"Fijo","19.36207711","-90.71895251","2019-11"
"6167442","04004114119002881001000000U0","CONCEPCIÓN CÁMARA RAMIREZ.",,"114119","Pesca y captura de peces, crustáceos, moluscos y otras especies","6 a 10 personas","AVENIDA","CARLOS SANSORES","CALLE","33","CALLE","35","CALLE","27A","0",,,,"0",,"COLONIA","GUADALUPE",,,,"24400","04","CAMPECHE","004","Champotón","0001","Champotón","1951","028","2321719054",,,"Fijo","19.35476746","-90.72698144","2014-12"
"6167227","04004461123000353001000000U3","CONGELADORA DE PESCADOS Y MARISCOS ORION",,"114119","Pesca y captura de peces, crustáceos, moluscos y otras especies","11 a 30 personas","CALLE","2","CALLE","DEL MUELLE","CALLE","CARRERTERA CHAMPOTON","CALLE","6","2",,,,,,"COLONIA","PUERTO PESQUERO",,,,"24400","04","CAMPECHE","004","Champotón","0001","Champotón","1025","006","9824330104","ING_FERREYRA2605@HOTMAIL.COM",,"Fijo","19.36137445","-90.71943349","2010-07"
"6167438","04004114119002592001000000O3","COOPERATIVA BAHÍA DE LA MALA PELEA DE PRODUCCIÓN PESQUERA DE BIENES Y SERVICIOS","COOPERATIVA BAHÍA DE LA MALA PELEA DE PRODUCCIÓN PESQUERA DE BIENES Y SERVICIOS SC DE RL","114119","Pesca y captura de peces, crustáceos, moluscos y otras especies","11 a 30 personas","CALLE","CALLE DEL MUELLE","CALLE","6","CALLE","8","CALLE","7","0",,,,"0",,"COLONIA","VENUSTIANO CARRANZA",,,,"24400","04","CAMPECHE","004","Champotón","0001","Champotón","0012","034","9821198096",,,"Fijo","19.36129752","-90.71804586","2014-12"
"6167237","04004114119002813000000000O3","COOPERATIVA DE PRODUCCION PESQUERA BALAS SC DE RL DE CV","COOPERATIVA DE PRODUCCION PESQUERA BALAS SC DE RL DE CV","114119","Pesca y captura de peces, crustáceos, moluscos y otras especies","11 a 30 personas","AVENIDA","CARLOS SANSORES PEREZ","AVENIDA","CARLOS SANSORES PEREZ","CALLE","13","CALLE","15","1",,,,,,"LOCALIDAD","LA PLAYA",,,,"24400","04","CAMPECHE","004","Champotón","0001","Champotón","1006","027",,"MARISCOS_BALAS@HOTMAIL.COM",,"Fijo","19.34463984","-90.72094427","2010-07"
"6167922","04004114119002063001000000O5","DELFINES DE LA BAHÍA SC DE RL","DELFINES DE LA BAHIA SC DE RL","114119","Pesca y captura de peces, crustáceos, moluscos y otras especies","11 a 30 personas","CALLE","33","CALLE","33","CALLE","30","CALLE","30","0",,,,"0",,"COLONIA","SAN PATRICIO",,,,"24400","04","CAMPECHE","004","Champotón","0001","Champotón","0968","032","9821314995",,,"Fijo","19.3530374","-90.72682141","2010-07"
"6167390","04004114119002621001000000U0","ESCAMAS Y PULPO",,"114119","Pesca y captura de peces, crustáceos, moluscos y otras especies","0 a 5 personas","CALLE","6","CALLE","PRINCIPAL","CALLE","NINGUNO","CALLE","NINGUNO","0",,,,"0",,"PUEBLO","LA JOYA",,,,"24451","04","CAMPECHE","004","Champotón","0016","La Joya","1063","017","9821276946",,,"Fijo","19.47915214","-90.67418983","2014-12"
"9225353","04004114119003801000000000U7","FRENTE COMUN CHAMPOTONERO DE PESCADORES ORGANIZADOS","FRENTE COMUN CHAMPOTONERO DE PESCADORES ORGANIZADOS AC","114119","Pesca y captura de peces, crustáceos, moluscos y otras especies","251 y más personas","CARRETERA","LOCALIDAD 800","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NIINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","0","DOMICILIO CONOCIDO",,,,,"LOCALIDAD","NICHE",,,,"24400","04","CAMPECHE","004","Champotón","1856","Niche","1218","800","0",,,"Fijo","19.09123278","-91.04041333","2020-04"
